"Category";"Keskilämpötilan poikkeama 1991–2020 keskiarvosta"
1961;0,9
1962;-7,9
1963;-6,2
1964;-1,8
1965;-3
1966;-7,5
1967;3,2
1968;-0,8
1969;-4,1
1970;0,7
1971;-6
1972;-0,5
1973;0,3
1974;1,3
1975;3
1976;-3,3
1977;-1,1
1978;-0,8
1979;0,2
1980;-3,4
1981;-7,1
1982;1,1
1983;-0,3
1984;-3,1
1985;-0,6
1986;2,5
1987;-3,4
1988;-0,6
1989;4,1
1990;1,1
1991;-1,6
1992;2,9
1993;0,1
1994;-1,2
1995;2,7
1996;0,1
1997;0,2
1998;-3,6
1999;0,1
2000;0,3
2001;-4,2
2002;-0,5
2003;2,9
2004;0,2
2005;-2,9
2006;-4,5
2007;4,2
2008;-1,2
2009;0
2010;-2,5
2011;0,8
2012;1,7
2013;-4,8
2014;3,4
2015;4,1
2016;2,6
2017;1,5
2018;-3,2
2019;0,1
2020;1,6
2021;1,2
2022;2,5
2023;-2,3
2024;2,6
