"Category";"Sademäärä prosentteina 1991–2020 keskiarvosta"
1961;45
1962;31
1963;15
1964;6
1965;152
1966;69
1967;146
1968;95
1969;110
1970;98
1971;49
1972;33
1973;96
1974;17
1975;51
1976;64
1977;115
1978;76
1979;76
1980;70
1981;89
1982;70
1983;151
1984;75
1985;139
1986;164
1987;129
1988;92
1989;213
1990;62
1991;171
1992;149
1993;192
1994;101
1995;112
1996;33
1997;155
1998;75
1999;97
2000;86
2001;82
2002;98
2003;105
2004;49
2005;32
2006;27
2007;133
2008;104
2009;51
2010;252
2011;75
2012;85
2013;36
2014;100
2015;159
2016;34
2017;122
2018;65
2019;158
2020;99
2021;59
2022;39
2023;76
2024;109
